latitude,longitude,elevation
41.319155,-106.351367,3304.017822265625
41.319155,-106.35060750632911,3298.314697265625
41.319155,-106.34984801265823,3295.7529296875
41.319155,-106.34908851898734,3295.926025390625
41.319155,-106.34832902531645,3295.203369140625
41.319155,-106.34756953164556,3298.8056640625
41.319155,-106.34681003797468,3280.92333984375
41.319155,-106.3460505443038,3257.639404296875
41.319155,-106.34529105063291,3238.60498046875
41.319155,-106.34453155696202,3232.318603515625
41.319155,-106.34377206329114,3229.188720703125
41.319155,-106.34301256962024,3228.8193359375
41.319155,-106.34225307594936,3227.425048828125
41.319155,-106.34149358227847,3230.314697265625
41.319155,-106.34073408860759,3233.312255859375
41.319155,-106.3399745949367,3230.90087890625
41.319155,-106.33921510126582,3217.896240234375
41.319155,-106.33845560759494,3199.27783203125
41.319155,-106.33769611392404,3191.3193359375
41.319155,-106.33693662025316,3188.021240234375
41.319155,-106.33617712658227,3187.208984375
41.319155,-106.33541763291139,3192.251708984375
41.319155,-106.3346581392405,3187.9306640625
41.319155,-106.33389864556962,3178.567626953125
41.319155,-106.33313915189873,3162.969482421875
41.319155,-106.33237965822784,3146.792236328125
41.319155,-106.33162016455695,3139.39501953125
41.319155,-106.33086067088607,3129.6611328125
41.319155,-106.33010117721518,3123.211181640625
41.319155,-106.3293416835443,3118.205322265625
41.319155,-106.32858218987342,3115.18701171875
41.319155,-106.32782269620253,3118.503173828125
41.319155,-106.32706320253165,3120.77587890625
41.319155,-106.32630370886075,3121.617431640625
41.319155,-106.32554421518986,3141.822509765625
41.319155,-106.32478472151898,3155.389404296875
41.319155,-106.3240252278481,3169.118896484375
41.319155,-106.32326573417721,3182.4814453125
41.319155,-106.32250624050633,3185.862548828125
41.319155,-106.32174674683544,3180.663330078125
41.319155,-106.32098725316455,3160.833740234375
41.319155,-106.32022775949366,3146.295166015625
41.319155,-106.31946826582278,3143.722412109375
41.319155,-106.3187087721519,3144.291015625
41.319155,-106.31794927848101,3138.781982421875
41.319155,-106.31718978481013,3130.826416015625
41.319155,-106.31643029113924,3119.657470703125
41.319155,-106.31567079746834,3118.586669921875
41.319155,-106.31491130379746,3095.4208984375
41.319155,-106.31415181012657,3068.659423828125
41.319155,-106.31339231645569,3048.403076171875
41.319155,-106.3126328227848,3036.50341796875
41.319155,-106.31187332911392,3019.9375
41.319155,-106.31111383544304,3006.237060546875
41.319155,-106.31035434177215,2996.34326171875
41.319155,-106.30959484810126,2996.72216796875
41.319155,-106.30883535443037,2996.11669921875
41.319155,-106.30807586075949,2998.384521484375
41.319155,-106.3073163670886,3012.902099609375
41.319155,-106.30655687341772,3042.09765625
41.319155,-106.30579737974683,3049.3896484375
41.319155,-106.30503788607595,3053.093505859375
41.319155,-106.30427839240505,3060.719482421875
41.319155,-106.30351889873417,3073.8408203125
41.319155,-106.30275940506328,3085.996826171875
41.319155,-106.3019999113924,3098.2216796875
41.319155,-106.30124041772152,3117.431396484375
41.319155,-106.30048092405063,3126.7392578125
41.319155,-106.29972143037975,3149.519775390625
41.319155,-106.29896193670885,3168.54248046875
41.319155,-106.29820244303797,3186.271240234375
41.319155,-106.29744294936708,3206.966552734375
41.319155,-106.2966834556962,3219.57275390625
41.319155,-106.29592396202531,3224.25244140625
41.319155,-106.29516446835443,3226.084716796875
41.319155,-106.29440497468354,3227.1826171875
41.319155,-106.29364548101265,3227.323974609375
41.319155,-106.29288598734176,3228.055908203125
41.319155,-106.29212649367088,3228.202392578125
41.319155,-106.291367,3227.930419921875
41.319914493670886,-106.351367,3292.257080078125
41.319914493670886,-106.35060750632911,3290.0927734375
41.319914493670886,-106.34984801265823,3289.782958984375
41.319914493670886,-106.34908851898734,3290.323974609375
41.319914493670886,-106.34832902531645,3289.45556640625
41.319914493670886,-106.34756953164556,3288.9814453125
41.319914493670886,-106.34681003797468,3289.10107421875
41.319914493670886,-106.3460505443038,3286.40966796875
41.319914493670886,-106.34529105063291,3257.3271484375
41.319914493670886,-106.34453155696202,3238.656982421875
41.319914493670886,-106.34377206329114,3231.3173828125
41.319914493670886,-106.34301256962024,3230.1416015625
41.319914493670886,-106.34225307594936,3228.750244140625
41.319914493670886,-106.34149358227847,3229.790771484375
41.319914493670886,-106.34073408860759,3228.055908203125
41.319914493670886,-106.3399745949367,3227.2685546875
41.319914493670886,-106.33921510126582,3221.125732421875
41.319914493670886,-106.33845560759494,3202.2001953125
41.319914493670886,-106.33769611392404,3189.603515625
41.319914493670886,-106.33693662025316,3186.076171875
41.319914493670886,-106.33617712658227,3185.615478515625
41.319914493670886,-106.33541763291139,3185.334716796875
41.319914493670886,-106.3346581392405,3183.9775390625
41.319914493670886,-106.33389864556962,3177.52978515625
41.319914493670886,-106.33313915189873,3173.1162109375
41.319914493670886,-106.33237965822784,3159.7666015625
41.319914493670886,-106.33162016455695,3149.913818359375
41.319914493670886,-106.33086067088607,3131.883544921875
41.319914493670886,-106.33010117721518,3124.16259765625
41.319914493670886,-106.3293416835443,3116.782470703125
41.319914493670886,-106.32858218987342,3117.059326171875
41.319914493670886,-106.32782269620253,3131.232666015625
41.319914493670886,-106.32706320253165,3138.847412109375
41.319914493670886,-106.32630370886075,3151.992431640625
41.319914493670886,-106.32554421518986,3161.05078125
41.319914493670886,-106.32478472151898,3170.983154296875
41.319914493670886,-106.3240252278481,3178.666015625
41.319914493670886,-106.32326573417721,3189.95947265625
41.319914493670886,-106.32250624050633,3190.6796875
41.319914493670886,-106.32174674683544,3186.518798828125
41.319914493670886,-106.32098725316455,3179.51806640625
41.319914493670886,-106.32022775949366,3160.023681640625
41.319914493670886,-106.31946826582278,3137.62939453125
41.319914493670886,-106.3187087721519,3130.4072265625
41.319914493670886,-106.31794927848101,3129.953369140625
41.319914493670886,-106.31718978481013,3123.380615234375
41.319914493670886,-106.31643029113924,3117.4619140625
41.319914493670886,-106.31567079746834,3113.028564453125
41.319914493670886,-106.31491130379746,3110.34423828125
41.319914493670886,-106.31415181012657,3094.082763671875
41.319914493670886,-106.31339231645569,3067.560546875
41.319914493670886,-106.3126328227848,3044.478271484375
41.319914493670886,-106.31187332911392,3027.322998046875
41.319914493670886,-106.31111383544304,3015.216796875
41.319914493670886,-106.31035434177215,2998.42431640625
41.319914493670886,-106.30959484810126,2997.222900390625
41.319914493670886,-106.30883535443037,2997.590087890625
41.319914493670886,-106.30807586075949,2999.221923828125
41.319914493670886,-106.3073163670886,3000.334716796875
41.319914493670886,-106.30655687341772,3018.359130859375
41.319914493670886,-106.30579737974683,3037.68310546875
41.319914493670886,-106.30503788607595,3048.654296875
41.319914493670886,-106.30427839240505,3059.3134765625
41.319914493670886,-106.30351889873417,3072.296142578125
41.319914493670886,-106.30275940506328,3088.117431640625
41.319914493670886,-106.3019999113924,3098.88427734375
41.319914493670886,-106.30124041772152,3116.43359375
41.319914493670886,-106.30048092405063,3134.15576171875
41.319914493670886,-106.29972143037975,3145.097900390625
41.319914493670886,-106.29896193670885,3168.951904296875
41.319914493670886,-106.29820244303797,3184.574462890625
41.319914493670886,-106.29744294936708,3203.661376953125
41.319914493670886,-106.2966834556962,3218.64453125
41.319914493670886,-106.29592396202531,3225.573974609375
41.319914493670886,-106.29516446835443,3229.53369140625
41.319914493670886,-106.29440497468354,3231.197998046875
41.319914493670886,-106.29364548101265,3232.020751953125
41.319914493670886,-106.29288598734176,3232.93505859375
41.319914493670886,-106.29212649367088,3233.527099609375
41.319914493670886,-106.291367,3232.77685546875
41.32067398734178,-106.351367,3287.05908203125
41.32067398734178,-106.35060750632911,3286.86962890625
41.32067398734178,-106.34984801265823,3284.986083984375
41.32067398734178,-106.34908851898734,3283.138427734375
41.32067398734178,-106.34832902531645,3283.242919921875
41.32067398734178,-106.34756953164556,3283.513671875
41.32067398734178,-106.34681003797468,3283.0751953125
41.32067398734178,-106.3460505443038,3278.039306640625
41.32067398734178,-106.34529105063291,3273.272705078125
41.32067398734178,-106.34453155696202,3268.484130859375
41.32067398734178,-106.34377206329114,3251.157470703125
41.32067398734178,-106.34301256962024,3238.35302734375
41.32067398734178,-106.34225307594936,3231.30419921875
41.32067398734178,-106.34149358227847,3224.11474609375
41.32067398734178,-106.34073408860759,3225.15283203125
41.32067398734178,-106.3399745949367,3224.781005859375
41.32067398734178,-106.33921510126582,3216.1904296875
41.32067398734178,-106.33845560759494,3204.5517578125
41.32067398734178,-106.33769611392404,3193.954833984375
41.32067398734178,-106.33693662025316,3187.625732421875
41.32067398734178,-106.33617712658227,3188.59521484375
41.32067398734178,-106.33541763291139,3192.61083984375
41.32067398734178,-106.3346581392405,3191.583251953125
41.32067398734178,-106.33389864556962,3185.751708984375
41.32067398734178,-106.33313915189873,3176.564208984375
41.32067398734178,-106.33237965822784,3165.355712890625
41.32067398734178,-106.33162016455695,3151.43798828125
41.32067398734178,-106.33086067088607,3141.519775390625
41.32067398734178,-106.33010117721518,3138.551025390625
41.32067398734178,-106.3293416835443,3122.34912109375
41.32067398734178,-106.32858218987342,3132.021728515625
41.32067398734178,-106.32782269620253,3152.068603515625
41.32067398734178,-106.32706320253165,3164.419677734375
41.32067398734178,-106.32630370886075,3179.85888671875
41.32067398734178,-106.32554421518986,3191.552734375
41.32067398734178,-106.32478472151898,3191.706298828125
41.32067398734178,-106.3240252278481,3192.383056640625
41.32067398734178,-106.32326573417721,3188.45703125
41.32067398734178,-106.32250624050633,3197.56201171875
41.32067398734178,-106.32174674683544,3192.322509765625
41.32067398734178,-106.32098725316455,3182.191162109375
41.32067398734178,-106.32022775949366,3161.17236328125
41.32067398734178,-106.31946826582278,3146.660888671875
41.32067398734178,-106.3187087721519,3134.10009765625
41.32067398734178,-106.31794927848101,3122.15380859375
41.32067398734178,-106.31718978481013,3117.848388671875
41.32067398734178,-106.31643029113924,3116.97900390625
41.32067398734178,-106.31567079746834,3121.8447265625
41.32067398734178,-106.31491130379746,3129.525146484375
41.32067398734178,-106.31415181012657,3126.713623046875
41.32067398734178,-106.31339231645569,3107.253662109375
41.32067398734178,-106.3126328227848,3070.754150390625
41.32067398734178,-106.31187332911392,3043.97412109375
41.32067398734178,-106.31111383544304,3019.5576171875
41.32067398734178,-106.31035434177215,3000.378173828125
41.32067398734178,-106.30959484810126,3000.4375
41.32067398734178,-106.30883535443037,2999.691650390625
41.32067398734178,-106.30807586075949,3001.410400390625
41.32067398734178,-106.3073163670886,3001.58056640625
41.32067398734178,-106.30655687341772,3008.472900390625
41.32067398734178,-106.30579737974683,3027.474365234375
41.32067398734178,-106.30503788607595,3045.728271484375
41.32067398734178,-106.30427839240505,3057.11962890625
41.32067398734178,-106.30351889873417,3071.84521484375
41.32067398734178,-106.30275940506328,3090.98779296875
